URL,Caption
https://i.imgflip.com/4/30b1gx.jpg,"""When your friend suggests pineapple on pizza vs. when they suggest extra cheese."""
https://i.imgflip.com/4/1ur9b0.jpg,"""When you're on a diet but the universe tests your willpower with a walking dessert menu."""
https://i.imgflip.com/4/1g8my4.jpg,"""When you realize hitting 'snooze' was actually 'self-destruct'."""
https://i.imgflip.com/4/9ehk.jpg,"""When Batman's high-five goes horribly wrong."""
https://i.imgflip.com/4/24y43o.jpg,"""Coffee is just bean soup, CHANGE MY MIND."""
https://i.imgflip.com/4/22bdq6.jpg,"""When your GPS says 'Take the next exit,' but you're not quite sure what it means by 'next.'"""
https://i.imgflip.com/4/3lmzyx.jpg,"""When you thought game night was casual, but it's actually a high-stakes UNO showdown."""
https://i.imgflip.com/4/261o3j.jpg,When you think you're acing life but then Monday sneaks up on you like a ninja.
https://i.imgflip.com/4/1bij.jpg,"""When you finally find jeans that fit both your waist and your legs."""
https://i.imgflip.com/4/1jwhww.jpg,"""When you finally remember the name of the song that's been stuck in your head all week."""
https://i.imgflip.com/4/1otk96.jpg,"""When you walk into a room and forget why you're there, but you're SpongeBob so it's at least three times goofier."""
https://i.imgflip.com/4/2fm6x.jpg,"""Just chilling on the bench, waiting for my blind date since 100 B.C."""
https://i.imgflip.com/4/m78d.jpg,"""When your 'out-of-office' reply is so good, you accidentally send your boss to voicemail."""
https://i.imgflip.com/4/26am.jpg,"""When you try to articulate how much coffee you need to function in the morning."""
https://i.imgflip.com/4/345v97.jpg,"""When you specifically said 'no cats at the dinner table' and Mr. Whiskers couldn't care less."""
